#{"t_start": 1771565922.632915, "env_id": "None"}
r,l,t
-1943978.1,200,2531.129422
-1669342.9,200,2538.411007
-1667092.4,200,2545.487108
-1674627.3,200,2553.792183
-1650902.2,200,2561.077725
-669487.0,200,2568.359915
-1603206.9,200,2580.432319
-1729357.5,200,2587.71505
-668529.3,200,2594.830407
-642090.4,200,2602.064369
-144906.3,200,2609.057434
-149992.5,200,2615.860615
-165140.4,200,2622.594296
-651259.0,200,2630.066909
-140707.0,200,2637.061317
-1664648.1,200,2644.596526
-1677748.5,200,2651.795578
-1702510.4,200,2659.348789
-659636.5,200,2666.990551
-118132.0,200,2674.059979
-678279.0,200,2681.372277
-724037.3,200,2689.029114
-664624.1,200,2696.471329
-146505.1,200,2703.656527
-1734041.2,200,2711.824266
-1735171.1,200,2720.346433
-674702.0,200,2731.677336
-137010.3,200,2738.933482
-1751990.5,200,2746.496905
-1056813.1,200,2755.923057
-721984.9,200,2763.322355
-1673115.3,200,2770.868668
-1730483.9,200,2778.71285
-700697.2,200,2786.237456
-1718269.5,200,2793.809163
-1675178.2,200,2801.231994
-1697111.3,200,2808.93745
-1649526.7,200,2816.338887
-1670278.1,200,2824.206337
-1736366.6,200,2831.766325
-641333.7,200,2839.327982
-1304325.3,200,2848.329124
-1660128.9,200,2855.514886
-1651909.5,200,2862.760223
-1667230.4,200,2870.416005
-1740728.3,200,2877.575326
-668908.8,200,2885.283025
-1624969.3,200,2896.044082
-1717448.4,200,2903.044802
-668452.4,200,2909.693072
-1794083.0,200,2917.164373
-1665335.5,200,2924.19888
-734013.0,200,2931.274474
-1729484.2,200,2938.836972
-1714809.4,200,2946.070191
-1664844.7,200,2953.483793
-1678834.2,200,2960.616227
-671437.2,200,2967.81407
-127778.7,200,2975.06225
-1644670.8,200,2982.505445
-1645879.0,200,2991.090578
-1740811.6,200,2999.585064
-591518.9,200,3007.426061
-1646186.3,200,3014.732399
-1672643.4,200,3022.867979
-724369.8,200,3030.341061
-133758.8,200,3037.46769
-663531.4,200,3048.674187
